Book_Name,Description,Author,Rating,No_of_Ratings,Regular_Price,Language,Book_Audio_Length,Cover_IMG,Book_URL
Leaders Eat Last,Why Some Teams Pull Together and Others Don't,Simon Sinek,4.5 out of 5 stars,56 ratings,"₹1,005.00","['Language:', 'English']",Length: 9 hrs and 23 mins,https://m.media-amazon.com/images/I/516OBygEerL._SL500_.jpg,https://www.audible.in/pd/Leaders-Eat-Last-Audiobook/B084D4K48F
Alchemy,The Surprising Power of Ideas That Don't Make Sense,Rory Sutherland,4.5 out of 5 stars,88 ratings,₹683.00,"['Language:', 'English']",Length: 9 hrs and 38 mins,https://m.media-amazon.com/images/I/41D2I9OKX8L._SL500_.jpg,https://www.audible.in/pd/Alchemy-Audiobook/B07KQFBP7V
"Master Your Time, Master Your Life","The Breakthrough System to Get More Results, Faster, in Every Area of Your Life",Brian Tracy,4.5 out of 5 stars,21 ratings,₹586.00,"['Language:', 'English']",Length: 4 hrs and 2 mins,https://m.media-amazon.com/images/I/51BOG+vv2LL._SL500_.jpg,https://www.audible.in/pd/Master-Your-Time-Master-Your-Life-Audiobook/B079BC7V4M
The Book of Investing Wisdom,,Warren E. Buffett,4.5 out of 5 stars,37 ratings,₹445.00,"['Language:', 'English']",Length: 2 hrs and 59 mins,https://m.media-amazon.com/images/I/41OzVbfxNfL._SL500_.jpg,https://www.audible.in/pd/The-Book-of-Investing-Wisdom-Audiobook/B079TLLZZN
Critical Chain,Project Management and the Theory of Constraints,Eliyahu M. Goldratt,4.5 out of 5 stars,31 ratings,₹820.00,"['Language:', 'English']",Length: 7 hrs and 27 mins,https://m.media-amazon.com/images/I/5193yHGk7rL._SL500_.jpg,https://www.audible.in/pd/Critical-Chain-Audiobook/B01N4G9PSY
How I Built This,The Unexpected Paths to Success from the World's Most Inspiring Entrepreneurs,Guy Raz,5 out of 5 stars,24 ratings,₹323.00,"['Language:', 'English']",Length: 10 hrs and 31 mins,https://m.media-amazon.com/images/I/41ego60VNtL._SL500_.jpg,https://www.audible.in/pd/How-I-Built-This-Audiobook/B089DJGT93
Why 'A' Students Work for 'C' Students and 'B' Students Work for the Government,Rich Dad's Guide to Financial Education for Parents,Robert T. Kiyosaki,5 out of 5 stars,22 ratings,"₹1,005.00","['Language:', 'English']",Length: 11 hrs and 5 mins,https://m.media-amazon.com/images/I/51cEK0J3TWL._SL500_.jpg,https://www.audible.in/pd/Why-A-Students-Work-for-C-Students-and-B-Students-Work-for-the-Government-Audiobook/B079VGPQ22
The Trusted Advisor,20th Anniversary Edition,David H. Maister,5 out of 5 stars,1 rating,₹586.00,"['Language:', 'English']",Length: 10 hrs and 38 mins,https://m.media-amazon.com/images/I/51ohLbFj6vS._SL500_.jpg,https://www.audible.in/pd/The-Trusted-Advisor-Audiobook/1666125040
Learning Agile,"Understanding Scrum, XP, Lean, and Kanban",Andrew Stellman,,Not rated yet,"₹1,340.00","['Language:', 'English']",Length: 15 hrs and 4 mins,https://m.media-amazon.com/images/I/51cw0TB3iwS._SL500_.jpg,https://www.audible.in/pd/Learning-Agile-Audiobook/B094NYYFYL
Perennial Seller,The Art of Making and Marketing Work That Lasts,Ryan Holiday,4.5 out of 5 stars,8 ratings,₹879.00,"['Language:', 'English']",Length: 7 hrs,https://m.media-amazon.com/images/I/513Dn24RbKL._SL500_.jpg,https://www.audible.in/pd/Perennial-Seller-Audiobook/B0741TN569
Magnetic Marketing,"How to Attract a Flood of New Customers That Pay, Stay, and Refer",Dan S. Kennedy,5 out of 5 stars,9 ratings,₹501.00,"['Language:', 'English']",Length: 3 hrs and 53 mins,https://m.media-amazon.com/images/I/51CQXvPvYDL._SL500_.jpg,https://www.audible.in/pd/Magnetic-Marketing-Audiobook/B07KWXMMS4
Time Management,The Brian Tracy Success Library,Brian Tracy,4.5 out of 5 stars,35 ratings,₹351.00,"['Language:', 'English']",Length: 2 hrs and 4 mins,https://m.media-amazon.com/images/I/41Bz58WbOkL._SL500_.jpg,https://www.audible.in/pd/Time-Management-Audiobook/B079R33QXD
Millionaire Success Habits,The Gateway to Wealth & Prosperity,Dean Graziosi,5 out of 5 stars,19 ratings,₹703.00,"['Language:', 'English']",Length: 8 hrs and 13 mins,https://m.media-amazon.com/images/I/5134MtFd+oL._SL500_.jpg,https://www.audible.in/pd/Millionaire-Success-Habits-Audiobook/B07MNTHDVC
The Storyteller's Secret,How TED Speakers and Inspirational Leaders Turn Their Passion into Performance,Carmine Gallo,4.5 out of 5 stars,21 ratings,₹323.00,"['Language:', 'English']",Length: 8 hrs and 14 mins,https://m.media-amazon.com/images/I/51NaITSdaKL._SL500_.jpg,https://www.audible.in/pd/The-Storytellers-Secret-Audiobook/B07B8LMC1D
Grinding It Out,The Making of McDonald's,Ray Kroc,4.5 out of 5 stars,41 ratings,₹586.00,"['Language:', 'English']",Length: 6 hrs and 58 mins,https://m.media-amazon.com/images/I/51Irk2qUrRL._SL500_.jpg,https://www.audible.in/pd/Grinding-It-Out-Audiobook/B07H4TPFKC
A More Beautiful Question,The Power of Inquiry to Spark Breakthrough Ideas,Warren Berger,5 out of 5 stars,2 ratings,₹915.00,"['Language:', 'English']",Length: 8 hrs and 45 mins,https://m.media-amazon.com/images/I/410-SZcI45L._SL500_.jpg,https://www.audible.in/pd/A-More-Beautiful-Question-Audiobook/1635578337
The Untethered Soul at Work,Teachings to Transform Your Work Life,Michael A. Singer,5 out of 5 stars,22 ratings,₹328.00,"['Language:', 'English']",Length: 2 hrs and 17 mins,https://m.media-amazon.com/images/I/41r58xMh64L._SL500_.jpg,https://www.audible.in/pd/The-Untethered-Soul-at-Work-Audiobook/B07N311NPJ
The Secrets of Power Negotiating,You Can Get Anything You Want,Roger Dawson,4.5 out of 5 stars,5 ratings,"₹1,439.00","['Language:', 'English']",Length: 5 hrs and 3 mins,https://m.media-amazon.com/images/I/61FrbdE-x+L._SL500_.jpg,https://www.audible.in/pd/The-Secrets-of-Power-Negotiating-Audiobook/B079KVFXYK
A Whole New Mind,Why Right-Brainers Will Rule the Future,Daniel H. Pink,4.5 out of 5 stars,16 ratings,₹585.00,"['Language:', 'English']",Length: 6 hrs and 15 mins,https://m.media-amazon.com/images/I/51vEzS1VeOL._SL500_.jpg,https://www.audible.in/pd/A-Whole-New-Mind-Audiobook/B07CNG9D3L
Coders at Work,Reflections on the Craft of Programming,Peter Seibel,,Not rated yet,"₹1,675.00","['Language:', 'English']",Length: 20 hrs and 52 mins,https://m.media-amazon.com/images/I/51Y7qsBCEqS._SL500_.jpg,https://www.audible.in/pd/Coders-at-Work-Audiobook/B092R7VFH6
Blitzscaling,The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,4.5 out of 5 stars,39 ratings,₹493.00,"['Language:', 'English']",Length: 9 hrs and 3 mins,https://m.media-amazon.com/images/I/51wembGJSkL._SL500_.jpg,https://www.audible.in/pd/Blitzscaling-Audiobook/B07GH8HT12
Chaos Monkeys,Inside the Silicon Valley Money Machine,Antonio Garcia Martinez,4.5 out of 5 stars,16 ratings,₹820.00,"['Language:', 'English']",Length: 15 hrs and 32 mins,https://m.media-amazon.com/images/I/51mdN-L0QkL._SL500_.jpg,https://www.audible.in/pd/Chaos-Monkeys-Audiobook/B07BNGB135
The Elephant Catchers,,Subroto Bagchi,5 out of 5 stars,11 ratings,₹394.00,"['Language:', 'English']",Length: 4 hrs and 58 mins,https://m.media-amazon.com/images/I/51eN8W5-DZL._SL500_.jpg,https://www.audible.in/pd/The-Elephant-Catchers-Audiobook/B06XCWPSDK
Systemology,"Create Time, Reduce Errors and Scale Your Profits with Proven Business Systems",David Jenyns,4.5 out of 5 stars,3 ratings,₹668.00,"['Language:', 'English']",Length: 5 hrs and 31 mins,https://m.media-amazon.com/images/I/41DTELfNTzL._SL500_.jpg,https://www.audible.in/pd/Systemology-Audiobook/B08FXS8FCK
The Trusted Advisor,20th Anniversary Edition,David H. Maister,5 out of 5 stars,1 rating,₹586.00,"['Language:', 'English']",Length: 10 hrs and 38 mins,https://m.media-amazon.com/images/I/51ohLbFj6vS._SL500_.jpg,https://www.audible.in/pd/The-Trusted-Advisor-Audiobook/1666125040
The Winning Attitude,How to Create Extraordinary Results in Your Life,Jeff Keller,5 out of 5 stars,2 ratings,₹900.00,"['Language:', 'English']",Length: 6 hrs and 52 mins,https://m.media-amazon.com/images/I/51P2VJOLAqL._SL500_.jpg,https://www.audible.in/pd/The-Winning-Attitude-Audiobook/9354220347
#Maxout Your Life,,Ed Mylett,4.5 out of 5 stars,33 ratings,₹233.00,"['Language:', 'English']",Length: 1 hr and 25 mins,https://m.media-amazon.com/images/I/41mj8kFCRxL._SL500_.jpg,https://www.audible.in/pd/Maxout-Your-Life-Audiobook/B08L86J7L2
Work,A History of How We Spend Our Time,James Suzman,4.5 out of 5 stars,4 ratings,₹721.00,"['Language:', 'English']",Length: 11 hrs and 53 mins,https://m.media-amazon.com/images/I/51K3O5omYGL._SL500_.jpg,https://www.audible.in/pd/Work-Audiobook/B08KJL3S7P
HBR Guide to Office Politics,,Harvard Business Review,4.5 out of 5 stars,35 ratings,₹501.00,"['Language:', 'English']",Length: 4 hrs and 12 mins,https://m.media-amazon.com/images/I/51UBpMCYdeL._SL500_.jpg,https://www.audible.in/pd/HBR-Guide-to-Office-Politics-Audiobook/B07CV47TWD
Qualitative Research,"A Guide to Design and Implementation, 4th Edition",Sharan B. Merriam,,Not rated yet,₹703.00,"['Language:', 'English']",Length: 11 hrs and 1 min,https://m.media-amazon.com/images/I/41JeVw-Az0L._SL500_.jpg,https://www.audible.in/pd/Qualitative-Research-Audiobook/B07VBPF5SV
Business Maharajas,,Gita Piramal,4.5 out of 5 stars,12 ratings,"₹1,256.00","['Language:', 'English']",Length: 16 hrs and 5 mins,https://m.media-amazon.com/images/I/51MgYELUmNL._SL500_.jpg,https://www.audible.in/pd/Business-Maharajas-Audiobook/014350004X
Clockwork,Design Your Business to Run Itself,Mike Michalowicz,5 out of 5 stars,11 ratings,₹879.00,"['Language:', 'English']",Length: 7 hrs and 30 mins,https://m.media-amazon.com/images/I/51gWVhdUYyL._SL500_.jpg,https://www.audible.in/pd/Clockwork-Audiobook/B07G1V7S2F
Words That Change Minds,The 14 Patterns for Mastering the Language of Influence,Shelle Rose Charvet,3 out of 5 stars,3 ratings,₹668.00,"['Language:', 'English']",Length: 9 hrs and 58 mins,https://m.media-amazon.com/images/I/512lFkqEBnL._SL500_.jpg,https://www.audible.in/pd/Words-That-Change-Minds-Audiobook/B07T3PQY3P
The Presentation Secrets of Steve Jobs,How to Be Insanely Great in Front of Any Audience,Carmine Gallo,4.5 out of 5 stars,58 ratings,₹680.00,"['Language:', 'English']",Length: 4 hrs and 17 mins,https://m.media-amazon.com/images/I/51wBNi8UkWL._SL500_.jpg,https://www.audible.in/pd/The-Presentation-Secrets-of-Steve-Jobs-Audiobook/B079DG1ZBS
Connect the Dots,,Rashmi Bansal,5 out of 5 stars,16 ratings,₹372.00,"['Language:', 'English']",Length: 10 hrs and 2 mins,https://m.media-amazon.com/images/I/51WMzXxtQVL._SL500_.jpg,https://www.audible.in/pd/Connect-the-Dots-Audiobook/B01MR7G0VD
Thinking Big,The Keys to Personal Power and Maximum Performance,Brian Tracy,5 out of 5 stars,8 ratings,"₹1,439.00","['Language:', 'English']",Length: 6 hrs and 13 mins,https://m.media-amazon.com/images/I/51LOAg-xawL._SL500_.jpg,https://www.audible.in/pd/Thinking-Big-Audiobook/B07B6QBD4C
Time Management Made Simple,,Brian Tracy,5 out of 5 stars,3 ratings,"₹1,172.00","['Language:', 'English']",Length: 10 hrs and 48 mins,https://m.media-amazon.com/images/I/61XrqM3NF9L._SL500_.jpg,https://www.audible.in/pd/Time-Management-Made-Simple-Audiobook/B01MQYCSLS
Lead with a Story,"A Guide to Crafting Business Narratives That Captivate, Convince, and Inspire",Paul Smith,5 out of 5 stars,3 ratings,₹836.00,"['Language:', 'English']",Length: 10 hrs and 51 mins,https://m.media-amazon.com/images/I/51nA1rbfTvL._SL500_.jpg,https://www.audible.in/pd/Lead-with-a-Story-Audiobook/B07CNDXPR2
Creative Selection,Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,4.5 out of 5 stars,22 ratings,₹323.00,"['Language:', 'English']",Length: 7 hrs and 28 mins,https://m.media-amazon.com/images/I/31SFcbOztiL._SL500_.jpg,https://www.audible.in/pd/Creative-Selection-Audiobook/B07FG83P62
The Millionaire Real Estate Agent,,Gary Keller,5 out of 5 stars,3 ratings,"₹1,384.00","['Language:', 'English']",Length: 11 hrs and 4 mins,https://m.media-amazon.com/images/I/51TD1995UcL._SL500_.jpg,https://www.audible.in/pd/The-Millionaire-Real-Estate-Agent-Audiobook/B079TM7QNK
Napoleon Hill's Golden Rules,The Lost Writings,Napoleon Hill,5 out of 5 stars,9 ratings,₹702.00,"['Language:', 'English']",Length: 6 hrs and 57 mins,https://m.media-amazon.com/images/I/51LXViM0VBL._SL500_.jpg,https://www.audible.in/pd/Napoleon-Hills-Golden-Rules-Audiobook/B01N0T9NW9
HBR's 10 Must Reads 2021: The Definitive Management Ideas of the Year from Harvard Business Review,HBR's 10 Must Reads Series,Harvard Business Review,5 out of 5 stars,5 ratings,₹586.00,"['Language:', 'English']",Length: 8 hrs and 14 mins,https://m.media-amazon.com/images/I/41F4PCeIsML._SL500_.jpg,https://www.audible.in/pd/HBRs-10-Must-Reads-2021-The-Definitive-Management-Ideas-of-the-Year-from-Harvard-Business-Review-Audiobook/1469082438
A World Without Email,Reimagining Work in an Age of Communication Overload,Cal Newport,4.5 out of 5 stars,7 ratings,₹888.00,"['Language:', 'English']",Length: 9 hrs and 16 mins,https://m.media-amazon.com/images/I/31SdwpSGDsL._SL500_.jpg,https://www.audible.in/pd/A-World-Without-Email-Audiobook/0241992974
Power Phone Scripts,"500 Word-for-Word Questions, Phrases, and Conversations to Open and Close More Sales",Mike Brooks,5 out of 5 stars,3 ratings,₹668.00,"['Language:', 'English']",Length: 8 hrs and 44 mins,https://m.media-amazon.com/images/I/51GKGmN3x3L._SL500_.jpg,https://www.audible.in/pd/Power-Phone-Scripts-Audiobook/B073X2SSCC
The Law of the Garbage Truck,Take Control of Your Life with One Decision,David J Pollay,5 out of 5 stars,2 ratings,₹694.00,"['Language:', 'English']",Length: 5 hrs and 32 mins,https://m.media-amazon.com/images/I/51QwXOEswzL._SL500_.jpg,https://www.audible.in/pd/The-Law-of-the-Garbage-Truck-Audiobook/B079VNTQ6T
The High-Potential Leader,"How to Grow Fast, Take on New Responsibilities, and Make an Impact",Ram Charan,4 out of 5 stars,17 ratings,₹668.00,"['Language:', 'English']",Length: 5 hrs and 48 mins,https://m.media-amazon.com/images/I/51hSi5aH4uL._SL500_.jpg,https://www.audible.in/pd/The-High-Potential-Leader-Audiobook/B073X421HW
HBR's 10 Must Reads on Public Speaking and Presenting,HBR's 10 Must Reads Series,Harvard Business Review,4 out of 5 stars,4 ratings,₹469.00,"['Language:', 'English']",Length: 5 hrs and 16 mins,https://m.media-amazon.com/images/I/41Tc7UmKEtL._SL500_.jpg,https://www.audible.in/pd/HBRs-10-Must-Reads-on-Public-Speaking-and-Presenting-Audiobook/1469079658
Subscribed,,Tien Tzuo,4.5 out of 5 stars,24 ratings,₹683.00,"['Language:', 'English']",Length: 7 hrs and 41 mins,https://m.media-amazon.com/images/I/41adRltlpTL._SL500_.jpg,https://www.audible.in/pd/Subscribed-Audiobook/B07DJPZS2K
The Founder's Dilemmas,,Noam Wasserman,4.5 out of 5 stars,17 ratings,₹836.00,"['Language:', 'English']",Length: 13 hrs and 28 mins,https://m.media-amazon.com/images/I/413e43FxTSL._SL500_.jpg,https://www.audible.in/pd/The-Founders-Dilemmas-Audiobook/B079DG781H
The Startup Owner's Manual,The Step-by-Step Guide for Building a Great Company,Steve Blank,4.5 out of 5 stars,3 ratings,₹703.00,"['Language:', 'English']",Length: 12 hrs and 59 mins,https://m.media-amazon.com/images/I/51WiAqPFmwL._SL500_.jpg,https://www.audible.in/pd/The-Startup-Owners-Manual-Audiobook/1469080052
Unscripted,"Life, Liberty, and the Pursuit of Entrepreneurship",MJ DeMarco,4.5 out of 5 stars,43 ratings,₹836.00,"['Language:', 'English']",Length: 17 hrs and 33 mins,https://m.media-amazon.com/images/I/51aopbJPRxL._SL500_.jpg,https://www.audible.in/pd/Unscripted-Audiobook/B071P4LMK5
"Change Your Questions, Change Your Life","10 Powerful Tools for Life and Work, 2nd Edition, Revised and Expanded",Marilee Adams,4 out of 5 stars,32 ratings,₹468.00,"['Language:', 'English']",Length: 4 hrs and 43 mins,https://m.media-amazon.com/images/I/51YXiQXb9lL._SL500_.jpg,https://www.audible.in/pd/Change-Your-Questions-Change-Your-Life-Audiobook/B01MT1H0NY
Rich Dad Advisors: ABCs of Real Estate Investing,The Secrets of Finding Hidden Profits Most Investors Miss,Ken McElroy,4 out of 5 stars,11 ratings,₹500.00,"['Language:', 'English']",Length: 5 hrs and 7 mins,https://m.media-amazon.com/images/I/512UPWAuX6L._SL500_.jpg,https://www.audible.in/pd/Rich-Dad-Advisors-ABCs-of-Real-Estate-Investing-Audiobook/B079B8NNYR
"The Tools of Argument: How the Best Lawyers Think, Argue, and Win",,Joel P. Trachtman,4.5 out of 5 stars,2 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 58 mins,https://m.media-amazon.com/images/I/41WtcTWeTrL._SL500_.jpg,https://www.audible.in/pd/The-Tools-of-Argument-How-the-Best-Lawyers-Think-Argue-and-Win-Audiobook/B07NDMPR99
Get That Job! The Quick and Complete Guide to a Winning Interview,,Thea Kelley,4.5 out of 5 stars,3 ratings,₹351.00,"['Language:', 'English']",Length: 4 hrs and 8 mins,https://m.media-amazon.com/images/I/51NZEYrU88L._SL500_.jpg,https://www.audible.in/pd/Get-That-Job-The-Quick-and-Complete-Guide-to-a-Winning-Interview-Audiobook/B07HNR5JTV
Getting Work Done,,Harvard Business Review,4.5 out of 5 stars,20 ratings,₹233.00,"['Language:', 'English']",Length: 1 hr and 8 mins,https://m.media-amazon.com/images/I/412GmOv1CJL._SL500_.jpg,https://www.audible.in/pd/Getting-Work-Done-Audiobook/B07DWJCDJ2
"The Anatomy of Peace, Third Edition",Resolving the Heart of Conflict,The Arbinger Institute,4 out of 5 stars,9 ratings,₹773.00,"['Language:', 'English']",Length: 6 hrs and 33 mins,https://m.media-amazon.com/images/I/51imY-u54sL._SL500_.jpg,https://www.audible.in/pd/The-Anatomy-of-Peace-Third-Edition-Audiobook/1665059095
Million Dollar Habits,Proven Power Practices to Double and Triple Your Income,Brian Tracy,4.5 out of 5 stars,5 ratings,₹586.00,"['Language:', 'English']",Length: 8 hrs and 3 mins,https://m.media-amazon.com/images/I/513465dtvjL._SL500_.jpg,https://www.audible.in/pd/Million-Dollar-Habits-Audiobook/1469084864
Exponential Organizations,"New Organizations Are Ten Times Better, Faster, and Cheaper Than Yours (and What to Do About It)",Salim Ismail,4.5 out of 5 stars,16 ratings,₹836.00,"['Language:', 'English']",Length: 11 hrs and 11 mins,https://m.media-amazon.com/images/I/51hjGlSlFaL._SL500_.jpg,https://www.audible.in/pd/Exponential-Organizations-Audiobook/B079B8D17T
"The Anatomy of Peace, Third Edition",Resolving the Heart of Conflict,The Arbinger Institute,4 out of 5 stars,9 ratings,₹773.00,"['Language:', 'English']",Length: 6 hrs and 33 mins,https://m.media-amazon.com/images/I/51imY-u54sL._SL500_.jpg,https://www.audible.in/pd/The-Anatomy-of-Peace-Third-Edition-Audiobook/1665059095
Exponential Organizations,"New Organizations Are Ten Times Better, Faster, and Cheaper Than Yours (and What to Do About It)",Salim Ismail,4.5 out of 5 stars,16 ratings,₹836.00,"['Language:', 'English']",Length: 11 hrs and 11 mins,https://m.media-amazon.com/images/I/51hjGlSlFaL._SL500_.jpg,https://www.audible.in/pd/Exponential-Organizations-Audiobook/B079B8D17T
Unscripted,"Life, Liberty, and the Pursuit of Entrepreneurship",MJ DeMarco,4.5 out of 5 stars,43 ratings,₹836.00,"['Language:', 'English']",Length: 17 hrs and 33 mins,https://m.media-amazon.com/images/I/51aopbJPRxL._SL500_.jpg,https://www.audible.in/pd/Unscripted-Audiobook/B071P4LMK5
The Adweek Copywriting Handbook,The Ultimate Guide to Writing Powerful Advertising and Marketing Copy from One of America's Top Copywriters,Joseph Sugarman,3 out of 5 stars,2 ratings,₹703.00,"['Language:', 'English']",Length: 11 hrs and 9 mins,https://m.media-amazon.com/images/I/51Pu5lkvZrL._SL500_.jpg,https://www.audible.in/pd/The-Adweek-Copywriting-Handbook-Audiobook/B08QR6Q6T9
Confessions of the Pricing Man,How Price Affects Everything,Hermann Simon,4 out of 5 stars,3 ratings,"₹1,340.00","['Language:', 'English']",Length: 10 hrs and 21 mins,https://m.media-amazon.com/images/I/41xbFGP5SBL._SL500_.jpg,https://www.audible.in/pd/Confessions-of-the-Pricing-Man-Audiobook/B08TZM6LHW
Vocal Power,"Speaking with Authority, Clarity, and Conviction",Roger Love,5 out of 5 stars,5 ratings,"₹1,439.00","['Language:', 'English']",Length: 6 hrs and 44 mins,https://m.media-amazon.com/images/I/51tHTwyQr3L._SL500_.jpg,https://www.audible.in/pd/Vocal-Power-Audiobook/B07DM29MGP
Blitzscaling,The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,4.5 out of 5 stars,39 ratings,₹493.00,"['Language:', 'English']",Length: 9 hrs and 3 mins,https://m.media-amazon.com/images/I/51wembGJSkL._SL500_.jpg,https://www.audible.in/pd/Blitzscaling-Audiobook/B07GH8HT12
The Phoenix Project,"A Novel about IT, DevOps, and Helping Your Business Win 5th Anniversary Edition",Gene Kim,4.5 out of 5 stars,170 ratings,₹836.00,"['Language:', 'English']",Length: 14 hrs and 46 mins,https://m.media-amazon.com/images/I/51Fi5Fq4u5L._SL500_.jpg,https://www.audible.in/pd/The-Phoenix-Project-Audiobook/B079TMP9K8
Making Work Visible: Exposing Time Theft to Optimize Work & flow,,Dominica Degrandis,4 out of 5 stars,8 ratings,₹668.00,"['Language:', 'English']",Length: 5 hrs and 10 mins,https://m.media-amazon.com/images/I/51kUs53PpxL._SL500_.jpg,https://www.audible.in/pd/Making-Work-Visible-Exposing-Time-Theft-to-Optimize-Work-flow-Audiobook/B0777517MW
Think and Grow Rich,,Napoleon Hill,4.5 out of 5 stars,10 ratings,₹836.00,"['Language:', 'English']",Length: 9 hrs and 35 mins,https://m.media-amazon.com/images/I/61atv8Q26iL._SL500_.jpg,https://www.audible.in/pd/Think-and-Grow-Rich-Audiobook/B079TM7K8N
You Can't Teach a Kid to Ride a Bike at a Seminar,Sandler Training's 7-Step System for Successful Selling (2nd Edition),David Mattson - foreword,4 out of 5 stars,2 ratings,₹656.00,"['Language:', 'English']",Length: 8 hrs and 23 mins,https://m.media-amazon.com/images/I/51CXLEDv5TL._SL500_.jpg,https://www.audible.in/pd/You-Cant-Teach-a-Kid-to-Ride-a-Bike-at-a-Seminar-Audiobook/B074523D2H
Finding My Virginity,The New Autobiography,Sir Richard Branson,4.5 out of 5 stars,17 ratings,₹957.00,"['Language:', 'English']",Length: 17 hrs and 55 mins,https://m.media-amazon.com/images/I/51MxVUQZLJL._SL500_.jpg,https://www.audible.in/pd/Finding-My-Virginity-Audiobook/B075VGD3C5
Summary of Principles: Life and Work,By Ray Dalio,In a Nutshell Publishing,4 out of 5 stars,33 ratings,₹132.00,"['Language:', 'English']",Length: 56 mins,https://m.media-amazon.com/images/I/41JOLtS+pKL._SL500_.jpg,https://www.audible.in/pd/Summary-of-Principles-Life-and-Work-Audiobook/B07G4JKC4B
Who Says Elephants Can't Dance?,Inside IBM's Historic Turnaround,Louis V. Gerstner Jr.,4.5 out of 5 stars,13 ratings,"₹1,238.00","['Language:', 'English']",Length: 8 hrs and 29 mins,https://m.media-amazon.com/images/I/51lFx90l87L._SL500_.jpg,https://www.audible.in/pd/Who-Says-Elephants-Cant-Dance-Audiobook/B079VS9N99
An Effective Life,,Stephen R. Covey,4.5 out of 5 stars,16 ratings,₹333.00,"['Language:', 'English']",Length: 54 mins,https://m.media-amazon.com/images/I/515T-RBrS6L._SL500_.jpg,https://www.audible.in/pd/An-Effective-Life-Audiobook/B07C7M6PP2
"The Tools of Argument: How the Best Lawyers Think, Argue, and Win",,Joel P. Trachtman,4.5 out of 5 stars,2 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 58 mins,https://m.media-amazon.com/images/I/41WtcTWeTrL._SL500_.jpg,https://www.audible.in/pd/The-Tools-of-Argument-How-the-Best-Lawyers-Think-Argue-and-Win-Audiobook/B07NDMPR99
#Maxout Your Life,,Ed Mylett,4.5 out of 5 stars,33 ratings,₹233.00,"['Language:', 'English']",Length: 1 hr and 25 mins,https://m.media-amazon.com/images/I/41mj8kFCRxL._SL500_.jpg,https://www.audible.in/pd/Maxout-Your-Life-Audiobook/B08L86J7L2
Executive Presence,The Missing Link between Merit and Success,Sylvia Ann Hewlett,4.5 out of 5 stars,16 ratings,"₹1,181.00","['Language:', 'English']",Length: 6 hrs and 17 mins,https://m.media-amazon.com/images/I/31GognQo6YL._SL500_.jpg,https://www.audible.in/pd/Executive-Presence-Audiobook/B079BH5YRJ
Clockwork,Design Your Business to Run Itself,Mike Michalowicz,5 out of 5 stars,11 ratings,₹879.00,"['Language:', 'English']",Length: 7 hrs and 30 mins,https://m.media-amazon.com/images/I/51gWVhdUYyL._SL500_.jpg,https://www.audible.in/pd/Clockwork-Audiobook/B07G1V7S2F
Magnetic Marketing,"How to Attract a Flood of New Customers That Pay, Stay, and Refer",Dan S. Kennedy,5 out of 5 stars,9 ratings,₹501.00,"['Language:', 'English']",Length: 3 hrs and 53 mins,https://m.media-amazon.com/images/I/51CQXvPvYDL._SL500_.jpg,https://www.audible.in/pd/Magnetic-Marketing-Audiobook/B07KWXMMS4
Competitive Strategy,Techniques for Analyzing Industries and Competitors,Michael E. Porter,3 out of 5 stars,2 ratings,₹836.00,"['Language:', 'English']",Length: 15 hrs and 31 mins,https://m.media-amazon.com/images/I/51CBvgOBFiL._SL500_.jpg,https://www.audible.in/pd/Competitive-Strategy-Audiobook/B07P8834W6
The Effective Manager Series,14 Self-Contained Multimedia Sessions,Brian Tracy,5 out of 5 stars,4 ratings,"₹2,008.00","['Language:', 'English']",Length: 12 hrs and 21 mins,https://m.media-amazon.com/images/I/41st4RQFsWL._SL500_.jpg,https://www.audible.in/pd/The-Effective-Manager-Series-Audiobook/B07PV3K3YC
How to Win at the Sport of Business,"If I Can Do It, You Can Do It",Mark Cuban,5 out of 5 stars,51 ratings,₹233.00,"['Language:', 'English']",Length: 2 hrs and 8 mins,https://m.media-amazon.com/images/I/51agV2kwUPL._SL500_.jpg,https://www.audible.in/pd/How-to-Win-at-the-Sport-of-Business-Audiobook/B07CNDS54R
Thinking in Bets,Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,4.5 out of 5 stars,155 ratings,₹879.00,"['Language:', 'English']",Length: 6 hrs and 50 mins,https://m.media-amazon.com/images/I/41CueL9WfHL._SL500_.jpg,https://www.audible.in/pd/Thinking-in-Bets-Audiobook/B0795587J5
Who Not How,The Formula to Achieve Bigger Goals Through Accelerating Teamwork,Dan Sullivan,4.5 out of 5 stars,13 ratings,₹586.00,"['Language:', 'English']",Length: 5 hrs and 24 mins,https://m.media-amazon.com/images/I/51BrFKqaYBL._SL500_.jpg,https://www.audible.in/pd/Who-Not-How-Audiobook/1401960774
Beyond the Goal,Theory of Constraints,Eliyahu M. Goldratt,5 out of 5 stars,20 ratings,₹703.00,"['Language:', 'English']",Length: 5 hrs and 47 mins,https://m.media-amazon.com/images/I/51uD0oWhcUL._SL500_.jpg,https://www.audible.in/pd/Beyond-the-Goal-Audiobook/B079VQZP8G
